kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
blelloch,16,131072,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,107040.0,45.83,,94.77,,,,25.0,17536.0,1024.0,,
blelloch,16,131072,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,6880.0,3.16,,48.94,,,,20.0,17408.0,1024.0,,
blelloch,16,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,19776.0,19.96,,80.89,,,,16.0,1024.0,1024.0,,
hillis_steele,16,131072,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,61536.0,65.22,,92.81,,,,16.0,17536.0,1024.0,,
hillis_steele,16,131072,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,5856.0,3.25,,49.3,,,,18.0,17408.0,1024.0,,
hillis_steele,16,131072,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,20000.0,19.94,,80.83,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5344.0,9.69,,47.59,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4480.0,9.21,,48.02,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2624.0,1.75,,46.67,,,,16.0,1024.0,1024.0,,
blelloch,64,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,10048.0,15.11,,49.18,,,,25.0,17536.0,1024.0,,
blelloch,64,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4256.0,6.4,,50.09,,,,20.0,17408.0,1024.0,,
blelloch,64,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2592.0,1.75,,46.59,,,,16.0,1024.0,1024.0,,
hillis_steele,64,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7456.0,17.28,,47.07,,,,16.0,17536.0,1024.0,,
hillis_steele,64,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3872.0,4.92,,47.07,,,,18.0,17408.0,1024.0,,
hillis_steele,64,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2624.0,1.75,,46.77,,,,16.0,1024.0,1024.0,,
warp_shuffle,64,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6784.0,15.16,,56.42,,,,20.0,17792.0,1024.0,,
warp_shuffle,64,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4224.0,9.76,,47.31,,,,22.0,17664.0,1024.0,,
warp_shuffle,64,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4544.0,4.17,,54.63,,,,16.0,1024.0,1024.0,,
blelloch,64,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,15136.0,20.09,,58.96,,,,25.0,17536.0,1024.0,,
blelloch,64,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4384.0,7.99,,47.82,,,,20.0,17408.0,1024.0,,
blelloch,64,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,4416.0,4.14,,54.82,,,,16.0,1024.0,1024.0,,
